ticker_code,company_name,company_full_name,sector,exchange
CRC,"Create Capital.,Jsc",Công ty Cổ phần Create Capital Việt Nam,Retail,HOSTC
CRE,"Century Land.,JSC",Công ty Cổ phần Bất động sản Thế kỷ,Real Estate,HOSTC
CSC,"COTANA GROUP.,JSC",Công ty cổ phần Tập đoàn COTANA,Real Estate,HNX
CSI,VNCS,Công ty Cổ phần Chứng Khoán Kiến Thiết Việt Nam,Financial Services,UPCOM
CSM,CASUMINA,Công ty Cổ phần Công nghiệp Cao su Miền Nam,Automobiles & Parts,HOSTC
CSV,SBCC,Công ty Cổ phần hóa chất cơ bản Miền Nam,Chemicals,HOSTC
CT3,CT3,Công ty Cổ phần Đầu tư và Xây dựng công trình 3,Construction & Materials,UPCOM
CT6,JSCONO6,Công ty Cổ phần Công trình 6,Construction & Materials,HNX
CTA,Vinavico,Công ty Cổ phần Vinavico,Construction & Materials,HNX
CTB,HAPUMA,Công ty Cổ phần Chế tạo Bơm Hải Dương,Industrial Goods & Services,HNX
