ticker_code,date,open,highest,lowest,close,average,adjusted,trading_volume,put_through_volume
AAM,2019-08-27,12.5,13.0,11.7,12.0,12.11,12.0,600.0,
AAM,2019-08-26,12.5,12.5,12.5,12.5,12.5,12.5,1250.0,
AAM,2019-08-23,12.0,12.2,12.0,12.2,12.01,12.2,1060.0,
AAM,2019-08-22,11.95,13.0,11.95,12.5,12.08,12.5,1170.0,
AAM,2019-08-21,12.6,13.45,12.6,12.8,12.72,12.8,8750.0,
AAM,2019-08-20,11.85,12.65,11.85,12.65,12.01,12.65,12100.0,
AAM,2019-08-19,11.2,11.85,11.2,11.85,11.21,11.85,910.0,
