ticker_code,company_name,company_full_name,sector,exchange
GMC,GARMEX SAIGON,Công ty cổ phần Garmex Sài Gòn,Personal & Household Goods,HOSTC
GMD,Gemadept,Công ty Cổ phần Gemadept,Industrial Goods & Services,HOSTC
GMX,GMX,Công ty Cổ phần Gạch Ngói Gốm Xây dựng Mỹ Xuân,Construction & Materials,HNX
GND,TUILDONAI,Công ty cổ phần Gạch ngói Đồng Nai,Construction & Materials,UPCOM
GSM,GSM,Công ty Cổ phần Thủy điện Hương Sơn,Utilities,UPCOM
GSP,GAS SHIPPING JSC,Công ty Cổ phần Vận tải Sản Phẩm khí Quốc Tế,Utilities,HOSTC
GTA,T.A.C,Công ty Cổ phần chế biến gỗ Thuận An,Personal & Household Goods,HOSTC
GTC,GODRATCO,Công ty Cổ phần Trà Rồng Vàng,Food & Beverage,UPCOM
GTD,Công ty Giầy Thượng Đình,Công ty cổ phần Giầy Thượng Đình,Personal & Household Goods,UPCOM
GTH,HCTC,Công ty Cổ phần Xây dựng - Giao thông Thừa Thiên Huế,Construction & Materials,UPCOM
