ticker_code,company_name,company_full_name,sector,exchange
PTS,PTS Hai Phong,Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Hải Phòng,Industrial Goods & Services,HNX
PTT,Petrotrans,Công ty Cổ phần Vận tải Dầu khí Đông Dương,Industrial Goods & Services,UPCOM
PTX,PTS Nghệ Tĩnh,Công ty cổ phần Vận tải và Dịch vụ Petrolimex Nghệ Tĩnh,Oil & Gas,UPCOM
PV2,"PV2., JSC",Công ty Cổ phần Đầu tư PV2,Financial Services,HNX
PVA,PVNC,Công ty Cổ phần Tổng Công ty Xây lắp Dầu khí Nghệ An,Construction & Materials,UPCOM
PVB,CTCP Bọc Ống Dầu khí Việt Nam,Công ty Cổ phần Bọc Ống Dầu khí Việt Nam,Oil & Gas,HNX
PVC,DMC Corp,Tổng Công ty cổ phần Dung dịch khoan và Hóa phẩm Dầu khí,Oil & Gas,HNX
PVD,PVDrilling,Tổng Công ty Cổ phần Khoan và Dịch vụ khoan dầu khí,Oil & Gas,HOSTC
PVE,PV Engineering,Tổng Công ty tư vấn thiết kế dầu khí - CTCP,Industrial Goods & Services,HNX
PVF,PVFC,Tổng Công ty Tài chính cổ phần Dầu khí Việt Nam,Financial Services,OTC
