ticker_code,company_name,company_full_name,sector,exchange
PNT,PN-TECHCONS JSC,Công ty Cổ phần Kỹ thuật Xây dựng Phú Nhuận,Real Estate,UPCOM
POB,CTCP Xăng dầu Dầu khí Thái Bình,Công ty Cổ phần Xăng dầu Dầu khí Thái Bình,Oil & Gas,UPCOM
POM,POMINA,Công ty Cổ phần Thép Pomina,Basic Resources,HOSTC
POS,POS,"Công ty cổ phần Dịch vụ Lắp đặt, Vận hành và Bảo dưỡng Công trình Dầu khí biển PTSC",Oil & Gas,UPCOM
POT,POSTEF,Công ty Cổ phần Thiết bị Bưu Điện,Technology,HNX
POV,PV OiL Vũng Áng,Công ty Cổ phần Xăng dầu Dầu khí Vũng Áng,Oil & Gas,UPCOM
POW,PV POWER,Tổng Công ty Điện lực Dầu khí Việt Nam – Công ty cổ phần,Oil & Gas,HOSTC
PPC,PLPC,Công ty Cổ phần Nhiệt điện Phả Lại,Utilities,HOSTC
PPE,PVPOWER ENGINEERING.JSC,Công ty Cổ phần Tư vấn Điện lực Dầu khí Việt Nam,Industrial Goods & Services,HNX
PPG,PP.Corporation,Công ty Cổ phần Sản xuất-Thương mại-Dịch vụ Phú Phong,Construction & Materials,OTC
