ticker_code,company_name,company_full_name,sector,exchange
HNB,HNB,Công ty Cổ phần Bến xe Hà Nội,Travel & Leisure,UPCOM
HND,"HAI PHONG TP.,JSC",Công ty Cổ phần Nhiệt điện Hải Phòng,Utilities,UPCOM
HNF,"HUUNGHIFOOD.,JSC",Công ty Cổ phần Thực phẩm Hữu Nghị,Food & Beverage,UPCOM
HNG,HAGL AGRICO,Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Food & Beverage,HOSTC
HNI,HUGAMEX,Công ty Cổ phần May Hữu Nghị,Personal & Household Goods,UPCOM
HNM,HANOIMILK.JSC,Công ty Cổ phần Sữa Hà Nội,Food & Beverage,HNX
HNP,Hanel Plastics,Công ty cổ phần Hanel Xốp nhựa,Chemicals,UPCOM
HNR,Công ty Cổ phần Cồn Rượu Hà Nội,Công ty Cổ phần Cồn Rượu Hà Nội,Food & Beverage,UPCOM
HNT,HaNoiTram,Công ty cổ phần Xe điện Hà Nội,Industrial Goods & Services,UPCOM
HOM,HOM,Công ty Cổ phần Xi măng Vicem Hoàng Mai,Construction & Materials,HNX
