ticker_code,company_name,company_full_name,sector,exchange
SEL,SELCO,Công ty Cổ phần Sông Đà 11 Thăng Long,Construction & Materials,OTC
SEP,SEPON GROUP,Công ty Cổ phần Tổng Công ty Thương mại Quảng Trị,Food & Beverage,UPCOM
SFC,SFC,Công ty Cổ phần Nhiên Liệu Sài Gòn,Retail,HOSTC
SFG,SFJC,Công ty Cổ phần phân bón Miền Nam,Chemicals,HOSTC
SFI,SAFI,Công ty Cổ phần Đại lý Vận tải SAFI,Industrial Goods & Services,HOSTC
SFN,SFN,Công ty Cổ phần Dệt lưới Sài Gòn,Industrial Goods & Services,HNX
SFT,SOFTECH,Công ty Cổ phần Softtech,Industrial Goods & Services,OTC
SGC,SAGIMEXCO ĐỒNG THÁP,Công ty Cổ phần Xuất nhập khẩu Sa Giang,Food & Beverage,HNX
SGD,HEBCO,Công ty Cổ phần Sách Giáo dục tại thành phố Hồ Chí Minh,Media,HNX
SGH,SAIGON HOTEL,Công ty Cổ phần Khách sạn Sài Gòn,Travel & Leisure,HNX
