ticker_code,company_name,company_full_name,sector,exchange
IBD,INBID,Công ty Cổ phần In Tổng hợp Bình Dương,Industrial Goods & Services,UPCOM
ICC,ICC,Công ty cổ phần Xây dựng Công nghiệp,Construction & Materials,UPCOM
ICF,Incomfish,Công ty Cổ phần Đầu tư Thương mại Thủy sản,Food & Beverage,UPCOM
ICG,INCOMEX,Công ty Cổ phần Xây dựng sông Hồng,Construction & Materials,HNX
ICI,ICIC,Công ty Cổ phần Đầu tư và Xây dựng Công nghiệp,Construction & Materials,UPCOM
ICN,IDICO-CONAC,Công ty Cổ phần Đầu Tư Xây Dựng Dầu Khí IDICO,Construction & Materials,UPCOM
IDC,IDICO,Tổng Công ty IDICO - CTCP,Construction & Materials,UPCOM
IDI,Công ty cổ phần IDI,Công ty Cổ phần Đầu tư và Phát triển Đa Quốc Gia IDI,Food & Beverage,HOSTC
IDJ,IDJ Financial,Công ty Cổ phần Đầu tư tài chính Quốc tế và Phát triển doanh nghiệp IDJ,Real Estate,HNX
IDN,Công ty cổ phần In và dịch vụ Đà Nẵng,Công ty cổ phần In và Dịch vụ Đà Nẵng,Media,OTC
