ticker_code,company_name,company_full_name,sector,exchange
G36,Tổng công ty 36,Tổng công ty 36 - CTCP,Construction & Materials,UPCOM
GAB,"GAB.,JSC",CÔNG TY CỔ PHẦN GAB,Oil & Gas,HOSTC
GAS,PV Gas,Tổng Công ty Khí Việt Nam - CTCP,Utilities,HOSTC
GBS,GBVS,Công ty Cổ phần Chứng khoán Golden Bridge Việt Nam,Financial Services,OTC
GCB,Petec Bidico,Công ty cổ phần Petec Bình Định,Retail,UPCOM
GDT,Công ty CP Đức Thành,Công ty Cổ phần Chế biến Gỗ Đức Thành,Personal & Household Goods,HOSTC
GDW,GIA DINH WASUCO JSC,Công ty Cổ phần Cấp nước Gia Định,Utilities,HNX
GEG,GEC,Công ty Cổ phần Điện Gia Lai,Utilities,UPCOM
GER,Geru Star Sport Co.,Công ty Cổ phần Thể Thao Ngôi Sao Geru,Industrial Goods & Services,UPCOM
GEX,GELEX,Tổng Công ty Cổ phần Thiết bị điện Việt Nam,Industrial Goods & Services,HOSTC
