ticker_code,company_name,company_full_name,sector,exchange
BHP,BHP,Công ty Cổ phần Bia Hà Nội - Hải Phòng,Food & Beverage,UPCOM
BHS,"TTC Bien Hoa - Dong Nai Co.,LTD",Công ty TNHH một thành viên Đường TTC Biên Hòa - Đồng Nai,Food & Beverage,OTC
BHT,"BACH DANG TMC., JSC",Công ty Cổ phần Đầu tư Xây dựng Bạch Đằng TMC,Construction & Materials,UPCOM
BHV,BSCO,Công ty Cổ phần Viglacera Bá Hiến,Construction & Materials,UPCOM
BHWC,Công ty Cổ phần Bình Hiệp,Công ty Cổ phần Bình Hiệp,Utilities,OTC
BIC,BIC,Tổng Công ty Cổ phần Bảo Hiểm Ngân hàng Đầu tư và Phát triển Việt Nam,Insurance,HOSTC
BID,BIDV,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Banks,HOSTC
BII,CTCP Đầu tư và Phát triển Công nghiệp Bảo Thư,Công ty Cổ phần Đầu tư và Phát triển Công nghiệp Bảo Thư,Real Estate,HNX
BIO,BIOPHARCO,Công ty cổ phần Vắc Xin và Sinh phẩm Nha Trang,Health Care,UPCOM
BKC,BAMCORP.,Công ty Cổ phần Khoáng sản Bắc Kạn,Basic Resources,HNX
