ticker_code,company_name,company_full_name,sector,exchange
SGN,SAGS,Công ty cổ phần Phục vụ Mặt đất Sài Gòn,Industrial Goods & Services,HOSTC
SGO,SG OIL JSC,Công ty Cổ phần Dầu thực vật Sài Gòn,Food & Beverage,HNX
SGP,CẢNG SÀI GÒN/SAIGON PORT,Công ty Cổ phần Cảng Sài Gòn,Industrial Goods & Services,UPCOM
SGR,CTCP Địa ốc Sài Gòn,Công ty Cổ phần Địa ốc Sài Gòn,Real Estate,HOSTC
SGS,SSC JSC,Công ty Cổ phần vận tải biển Sài Gòn,Industrial Goods & Services,UPCOM
SGT,SAIGONTEL,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Technology,HOSTC
SHA,SON HA SAI GON JSC,Công ty Cổ phần Sơn Hà Sài Gòn,Personal & Household Goods,HOSTC
SHB,SHB,Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội,Banks,HNX
SHC,SMC,Công ty Cổ phần Hàng hải Sài Gòn,Industrial Goods & Services,UPCOM
SHE,"SON HA DRE.,JSC",Công ty cổ phần Phát triển năng lượng Sơn Hà,Industrial Goods & Services,HNX
