ticker_code,company_name,company_full_name,sector,exchange
VPB,VPBANK,Ngân hàng Thương mại Cổ phần Việt Nam thịnh vượng,Banks,HOSTC
VPBS,Công ty Chứng khoán Ngân hàng Việt Nam Thịnh Vượng,Công ty Chứng khoán Ngân hàng Việt Nam Thịnh Vượng,Financial Services,OTC
VPC,V-Power,Công ty Cổ phần Đầu tư và Phát triển Năng lượng Việt Nam,Construction & Materials,UPCOM
VPD,VNPD,Công ty Cổ phần Phát triển Điện Lực Việt Nam,Utilities,HOSTC
VPG,Vietphat.Jsc,Công ty cổ phần Đầu tư Thương mại Xuất nhập khẩu Việt Phát,Basic Resources,HOSTC
VPH,VPH Corp,Công ty Cổ phần Vạn Phát Hưng,Real Estate,HOSTC
VPI,"THE VAN PHU VICTORIA., JSC",Công ty Cổ phần Đầu tư Văn Phú - Invest,Real Estate,HOSTC
VPK,VMPACK,Công ty Cổ phần bao bì dầu thực vật,Industrial Goods & Services,HOSTC
VPR,IN VINA,Công ty cổ phần In và thương mại Vina,Basic Resources,UPCOM
VPS,VIPESCO,Công ty Cổ phần thuốc sát trùng Việt Nam,Chemicals,HOSTC
