ticker_code,company_name,company_full_name,sector,exchange
NHC,BRICO,Công ty Cổ phần gạch ngói Nhị Hiệp,Construction & Materials,HNX
NHH,"HPCS.,.JSC",Công ty Cổ phần Nhựa Hà Nội,Chemicals,UPCOM
NHN,"HANOI CITY., JSC",Công ty Cổ phần Phát triển Đô thị Nam Hà Nội,Real Estate,OTC
NHP,"PIENHP.,JSC",Công ty Cổ phần sản xuất xuất nhập khẩu NHP,Industrial Goods & Services,HNX
NHS,NSC,Công ty Cổ phần Đường Ninh Hòa,Food & Beverage,OTC
NHT,Nam Hoa Corp.,Công ty Cổ phần Sản xuất và Thương mại Nam Hoa,Personal & Household Goods,UPCOM
NHV,NHV Investment JSC,Công ty Cổ phần Đầu tư NHV,Food & Beverage,UPCOM
NHW,NHW,Công ty Cổ phần Ngô Han,Technology,OTC
NIS,NISCO,Công ty Cổ phần Dịch vụ hạ tầng mạng,Telecommunications,OTC
NKD,NKD,Công ty Cổ phần Chế biến thực phẩm Kinh Đô miền Bắc,Food & Beverage,OTC
