ticker_code,company_name,company_full_name,sector,exchange
SMN,SOBEE JSC,Công ty Cổ phần sách và thiết bị giáo dục miền Nam,Retail,HNX
SMT,SAMETEL,Công ty Cổ phần Sametel,Technology,HNX
SNC,SEANAMICO,Công ty Cổ phần Xuất nhập khẩu Thủy sản Năm Căn,Food & Beverage,UPCOM
SNG,"SONG DA 10.1.,JSC",Công ty Cổ phần Sông Đà 10.1,Construction & Materials,OTC
SNZ,Tổng Công ty Sonadezi,Tổng Công ty Cổ phần Phát triển khu Công Nghiệp,Real Estate,UPCOM
SON,"SONA., JSC",Công ty cổ phần Cung ứng Nhân lực Quốc tế và Thương mại,Industrial Goods & Services,UPCOM
SOV,Công ty Cổ phần Mắt kính Sài Gòn,Công ty Cổ phần Mắt kính Sài Gòn,Health Care,UPCOM
SP2,Su Pan No2 HJSC,Công ty cổ phần Thủy điện Sử Pán 2,Utilities,UPCOM
SPA,SAPACO,Công ty cổ phần Bao bì Sài Gòn,Industrial Goods & Services,UPCOM
SPB,CTCP Sợi Phú Bài,Công ty cổ phần Sợi Phú Bài,Personal & Household Goods,UPCOM
