ticker_code,company_name,company_full_name,sector,exchange
PVG,PV Gas North,Công ty Cổ phần Kinh doanh khí miền Bắc,Utilities,HNX
PVH,PVC-TH,Công ty Cổ phần Xây lắp Dầu khí Thanh Hóa,Construction & Materials,UPCOM
PVI,PVI,Công ty Cổ phần PVI,Insurance,HNX
PVL,VPRO,Công ty cổ phần Đầu tư Nhà đất Việt,Real Estate,HNX
PVM,"PVMACHINO.,JSC",Công ty cổ phần Máy - Thiết bị Dầu khí,Industrial Goods & Services,UPCOM
PVO,CÔng ty cổ phần dầu nhờn PV OIL,Công ty Cổ phần DẦU NHỜN PV OIL,Oil & Gas,UPCOM
PVP,PV Trans Pacific JSC,Công ty cổ phần Vận tải Dầu khí Thái Bình Dương,Industrial Goods & Services,UPCOM
PVR,"HANOI PVR ., JSC",Công ty Cổ phần Đầu tư PVR Hà Nội,Real Estate,UPCOM
PVS,PTSC,Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,Oil & Gas,HNX
PVT,PV Trans Corp,Tổng Công ty Cổ phần Vận tải dầu khí,Industrial Goods & Services,HOSTC
