ticker_code,company_name,company_full_name,sector,exchange
PKR,"PKR., JSC",Công ty cổ phần Đường sắt Phú Khánh,Industrial Goods & Services,UPCOM
PLA,Đầu tư và Dịch vụ Hạ tầng Xăng Dầu,Công ty cổ phần Đầu tư và Dịch vụ Hạ tầng Xăng Dầu,Real Estate,UPCOM
PLC,PLC,Tổng Công ty Hóa dầu Petrolimex - CTCP,Chemicals,HNX
PLP,"Pha le Plastics Manufacturing and Technology.,jsc",Công ty cổ phần Sản xuất và Công nghệ Nhựa Pha Lê,Basic Resources,HOSTC
PLX,Petrolimex,Tập đoàn Xăng dầu Việt Nam,Utilities,HOSTC
PMB,"PVFCCO NORTH.,JSC",Công ty Cổ phần Phân bón và Hóa chất Dầu khí miền Bắc,Chemicals,HNX
PMC,PHARMEDIC JSC,Công ty Cổ phần Dược phẩm dược liệu Pharmedic,Health Care,HNX
PME,CTCP Pymepharco,Công ty Cổ phần Pymepharco,Health Care,HOSTC
PMG,"PETRO MIEN TRUNG CO.,JSC",Công ty Cổ phần Đầu tư và Sản xuất Petro Miền Trung,Utilities,HOSTC
PMJ,POTMASCO,Công ty Cổ phần vật tư Bưu điện,Technology,UPCOM
