ticker_code,company_name,company_full_name,sector,exchange
HPS,,Công ty Cổ phần Đá xây dựng Hoà Phát,Construction & Materials,OTC
HPT,HPT,Công ty Cổ phần Dịch vụ Công nghệ Tin học HPT,Technology,UPCOM
HPU,28HP.CO,Công ty Cổ phần 28 Hưng Phú,Personal & Household Goods,UPCOM
HPW,CTCP Cấp nước Hải Phòng,Công ty cổ phần Cấp nước Hải Phòng,Utilities,UPCOM
HPX,Hai Phat Invest,Công ty cổ phần Đầu tư Hải Phát,Construction & Materials,HOSTC
HQC,Hoang Quan Corp.,Công ty Cổ phần Tư vấn - Thương mại - Dịch vụ Địa ốc Hoàng Quân,Real Estate,HOSTC
HRB,CTCP Harec Đầu tư và Thương mại,Công ty cổ phần Harec Đầu tư và Thương Mại,Real Estate,UPCOM
HRC,Horuco,Công ty Cổ phần Cao su Hòa Bình,Chemicals,HOSTC
HRG,Harco,Công ty cổ phần Cao su Hà Nội,Personal & Household Goods,OTC
HRT,Haraco,Công ty cổ phần Vận tải Đường sắt Hà Nội,Industrial Goods & Services,UPCOM
