ticker_code,company_name,company_full_name,sector,exchange
IDV,VPID,Công ty Cổ phần Phát triển hạ tầng Vĩnh Phúc,Real Estate,HNX
IFC,INFOODCO,Công ty cổ phần thực phẩm công nghệ Sài Gòn,Industrial Goods & Services,UPCOM
IFS,Interfood,Công ty Cổ phần Thực phẩm Quốc Tế,Food & Beverage,UPCOM
IHK,"AVIPRINT.,JSC",Công ty Cổ phần In Hàng không,Media,UPCOM
IJC,BECAMEX IJC,Công ty Cổ phần Phát triển Hạ tầng Kỹ thuật,Construction & Materials,HOSTC
IKH,STPS.CO,Công ty cổ phần In Khoa học Kỹ thuật,Media,UPCOM
ILA,ILA JSC,Công ty Cổ phần ILA,Food & Beverage,UPCOM
ILB,Công ty cổ phần ICD Tân Cảng - Long Bình,Công ty Cổ phần ICD Tân Cảng - Long Bình,Real Estate,HOSTC
ILC,Công ty Cổ phần Hợp tác lao động với nước ngoài,Công ty Cổ phần Hợp tác lao động với nước ngoài,Industrial Goods & Services,UPCOM
ILS,Interserco,Công ty cổ phần Đầu tư Thương mại và Dịch vụ Quốc tế,Industrial Goods & Services,UPCOM
