ticker_code,company_name,company_full_name,sector,exchange
VSH,VSHPC,Công ty Cổ phần Thủy điện Vĩnh Sơn – Sông Hinh,Utilities,HOSTC
VSI,WASECO,Công ty Cổ phần đầu tư và xây dựng cấp thoát nước,Construction & Materials,HOSTC
VSM,VICONSHIP ĐA NANG,Công ty Cổ phần Container Miền Trung,Industrial Goods & Services,HNX
VSN,Công ty cổ phần Việt Nam Kỹ nghệ Súc sản - Vissan,Công ty cổ phần Việt Nam Kỹ Nghệ Súc Sản,Food & Beverage,UPCOM
VSP,VSPP Corp,Công ty Cổ phần Vận tải biển và Bất động sản Việt Hải,Industrial Goods & Services,UPCOM
VST,VITRANSCHART JSC,Công ty Cổ phần Vận tải và Thuê tàu biển Việt Nam,Industrial Goods & Services,UPCOM
VT1,SUNIMEX MATERIAL,Công ty Cổ phần Vật tư Bến Thành,Construction & Materials,UPCOM
VT8,Vận tải Ô tô số 8,Công ty Cổ phần Dịch vụ Vận tải Ô tô số 8,Industrial Goods & Services,UPCOM
VTA,"VITALY JS.Co.,",Công ty Cổ phần Vitaly,Construction & Materials,UPCOM
VTB,VTB,Công ty Cổ phần Viettronics Tân Bình,Personal & Household Goods,HOSTC
