ticker_code,date,open,highest,lowest,close,average,adjusted,trading_volume,put_through_volume
ACL,2019-08-27,33.9,33.9,33.2,33.4,33.4,33.4,5270.0,
ACL,2019-08-26,33.85,34.0,33.1,33.7,33.58,33.7,9200.0,
ACL,2019-08-23,33.7,33.7,33.4,33.7,33.67,33.7,1530.0,
ACL,2019-08-22,34.0,34.0,33.0,33.7,33.48,33.7,19940.0,
ACL,2019-08-21,34.8,34.9,33.9,34.0,34.57,34.0,16710.0,
ACL,2019-08-20,34.3,34.9,34.3,34.8,34.66,34.8,14220.0,
ACL,2019-08-19,34.8,34.8,33.9,34.8,34.27,34.8,10310.0,
