ticker_code,company_name,company_full_name,sector,exchange
VC7,Vinaconex No 7,Công ty Cổ phần Xây dựng số 7,Construction & Materials,HNX
VC9,VINACONEX 9 JSC,Công ty Cổ phần Xây dựng số 9,Construction & Materials,HNX
VCA,VCS,Công ty Cổ phần Thép VICASA - VNSTEEL,Basic Resources,UPCOM
VCB,VIETCOMBANK,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam,Banks,HOSTC
VCC,VINACONEX 25 JSC,Công ty Cổ phần Vinaconex 25,Construction & Materials,HNX
VCE,XLMT,Công ty Cổ phần Xây lắp Môi trường - TKV,Oil & Gas,UPCOM
VCF,VINACAFÉ BH,Công ty Cổ phần Vinacafé Biên Hòa,Food & Beverage,HOSTC
VCG,VINACONEX JSC,Tổng Công ty Cổ phần Xuất nhập khẩu và xây dựng Việt Nam,Construction & Materials,HNX
VCH,Vinaconex 34,Công ty Cổ phần Đầu tư xây dựng và Phát triển hạ tầng Vinaconex,Construction & Materials,OTC
VCI,VCSC,Công ty Cổ phần Chứng khoán Bản Việt,Financial Services,HOSTC
