ticker_code,company_name,company_full_name,sector,exchange
BKH,Công ty Cổ phần Bánh mứt kẹo Hà Nội,Công ty Cổ phần Bánh mứt kẹo Hà Nội,Food & Beverage,UPCOM
BLF,Bac Lieu FIS,Công ty Cổ phần Thủy sản Bạc Liêu,Food & Beverage,HNX
BLI,Bảo Hiểm Bảo Long,Tổng Công ty Cổ phần Bảo Hiểm Bảo Long,Insurance,UPCOM
BLN,BLN,Công ty cổ phần Vận tải và dịch vụ Liên Ninh,Travel & Leisure,UPCOM
BLT,BIDIFOOD,Công ty Cổ phần Lương thực Bình Định,Food & Beverage,UPCOM
BLU,Công ty cổ phần Công trình Đô thị Bạc Liêu,Công ty cổ phần Công trình Đô thị Bạc Liêu,Industrial Goods & Services,UPCOM
BLW,BAWACO,Công ty cổ phần Cấp nước Bạc Liêu,Utilities,UPCOM
BM9,Công ty 319 Miền Nam,Công ty Cổ phần Đầu tư Xây dựng 319 Miền Nam,Personal & Household Goods,UPCOM
BMC,Bimico,Công ty Cổ phần Khoáng sản Bình Định,Basic Resources,HOSTC
BMD,Công ty Cổ phần Môi trường và Dịch vụ Đô thị Bình Thuận,Công ty Cổ phần Môi trường và Dịch vụ Đô thị Bình Thuận,Industrial Goods & Services,UPCOM
