ticker_code,company_name,company_full_name,sector,exchange
NTH,Công ty cổ phần Thuỷ điện Nước trong,Công ty cổ phần Thủy điện Nước trong,Utilities,HNX
NTL,LIDECO,Công ty Cổ phần Phát triển đô thị Từ Liêm,Real Estate,HOSTC
NTP,TIFOPLAST,Công ty Cổ phần Nhựa Thiếu niên Tiền Phong,Construction & Materials,HNX
NTR,Công ty Đường sắt Nghệ Tĩnh,Công ty cổ phần Đường sắt Nghệ Tĩnh,Industrial Goods & Services,UPCOM
NTT,NHATEXCO,Công ty cổ phần Dệt - May Nha Trang,Personal & Household Goods,UPCOM
NTW,NTW,Công ty Cổ phần Cấp nước Nhơn Trạch,Utilities,UPCOM
NUE,Công ty Môi trường Đô thị Nha Trang,Công ty cổ phần Môi trường Đô thị Nha Trang,Industrial Goods & Services,UPCOM
NVB,Ngân hàng Thương mại Quốc Dân,Ngân hàng Thương mại Cổ phần Quốc Dân,Banks,HNX
NVL,Novaland Group,Công ty cổ phần Tập đoàn Đầu tư Địa ốc No Va,Real Estate,HOSTC
NVN,HVN J.S CO,Công ty Cổ phần Nhà Việt Nam,Real Estate,OTC
