ticker_code,company_name,company_full_name,sector,exchange
HCD,"HCD INVESTPRO., JSC",Công ty cổ phần Đầu tư Sản xuất và Thương mại HCD,Construction & Materials,HOSTC
HCI,HANCIC,Công ty Cổ phần Đầu tư - Xây dựng Hà Nội,Construction & Materials,UPCOM
HCM,HSC,Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh,Financial Services,HOSTC
HCS,"HASITEC.,JSC",Công ty cổ phần Thông tin Tín hiệu Đường sắt Hà Nội,Industrial Goods & Services,UPCOM
HCT,HPCTT,Công ty Cổ phần thương mại dịch vụ vận tải xi măng Hải Phòng,Industrial Goods & Services,HNX
HD2,HUD 2,Công ty cổ phần Đầu tư Phát triển nhà HUD2,Real Estate,UPCOM
HD3,MHDI3,Công ty cổ phần Đầu tư phát triển Nhà và Đô thị MHDI3,Real Estate,UPCOM
HD8,"HUD8.,JSC",Công ty cổ phần Đầu tư phát triển nhà và đô thị HUD8,Real Estate,UPCOM
HDA,HSDA,Công ty Cổ phần Hãng sơn Đông Á,Construction & Materials,HNX
HDB,HDBank,Ngân hàng Thương mại cổ phần Phát triển thành phố Hồ Chí Minh,Banks,HOSTC
