ticker_code,company_name,company_full_name,sector,exchange
VDN,VINATEX DANANG,Công ty Cổ phần Vinatex Đà Nẵng,Personal & Household Goods,UPCOM
VDP,Vidipha,Công ty Cổ phần Dược phẩm Trung ương Vidipha,Health Care,HOSTC
VDS,Rồng Việt,Công ty Cổ phần Chứng khoán Rồng Việt (VDSC),Financial Services,HOSTC
VDT,Vidothep,Công ty Cổ phần Lưới thép Bình Tây,Construction & Materials,UPCOM
VE1,VNECO 1,Công ty Cổ phần Xây dựng điện VNECO 1,Construction & Materials,HNX
VE2,VNECO2,Công ty Cổ phần Xây dựng Điện VNECO 2,Construction & Materials,HNX
VE3,VNECO 3,Công ty Cổ phần Xây dựng điện VNECO 3,Construction & Materials,HNX
VE4,VNECO4,Công ty Cổ phần xây dựng điện VNECO 4,Construction & Materials,HNX
VE8,VNECO8,Công ty Cổ phần Xây dựng Điện Vneco 8,Construction & Materials,HNX
VE9,VNECO 9,Công ty Cổ phần Đầu tư và xây dựng VNECO 9,Construction & Materials,HNX
