ticker_code,company_name,company_full_name,sector,exchange
TAG,"Tran Anh Digital World.,JSC",Công ty Cổ phần Thế giới số Trần Anh,Technology,UPCOM
TAN,"Thuan An Coffee Co.,Ltd",Công ty TNHH MTV Cà phê Thuận An,Food & Beverage,UPCOM
TAP,TAP,Công ty cổ phần Đô thị Tân An,Utilities,UPCOM
TAR,CTCP Nông nghiệp Công nghệ cao Trung An,Công ty cổ phần Nông nghiệp Công nghệ cao Trung An,Food & Beverage,HNX
TAS,TAS,Công ty Cổ phần Chứng khoán Tràng An,Financial Services,OTC
TAW,TAWACO,Công ty Cổ phần Cấp nước Trung An,Utilities,UPCOM
TB8,Sản xuất và kinh doanh Vật tư Thiết bị - VVMI,Công ty cổ phần Sản xuất và kinh doanh Vật tư Thiết bị - VVMI,Construction & Materials,UPCOM
TBC,TBHPC,Công ty Cổ phần Thủy điện Thác Bà,Utilities,HOSTC
TBD,EEMC,Tổng Công ty Thiết bị điện Đông Anh,Industrial Goods & Services,UPCOM
TBN,"BAC NINH SWT.,JST",Công ty Cổ phần Thoát nước và Xử lý nước thải Bắc Ninh,Industrial Goods & Services,OTC
