ticker_code,company_name,company_full_name,sector,exchange
MCC,M & C,Công ty Cổ phần Gạch ngói cao cấp,Construction & Materials,HNX
MCF,MECOFOOD,Công ty Cổ phần Xây lắp Cơ khí và Lương thực Thực phẩm (Mecofood),Food & Beverage,HNX
MCG,MECO JSC,Công ty Cổ phần Cơ điện và Xây dựng Việt Nam,Construction & Materials,HOSTC
MCH,Masan Consumer Corp,Công ty Cổ Phần hàng tiêu dùng Masan,Food & Beverage,UPCOM
MCI,MCI,Công ty Cổ phần Đầu tư Xây dựng và Phát triển Vật liệu IDICO,Construction & Materials,UPCOM
MCL,"Chi Linh BMAHD.,JSC",Công ty Cổ phần Phát triển nhà và Sản xuất vật liệu xây dựng Chí Linh,Construction & Materials,OTC
MCO,"BDC.,JSC",Công ty Cổ phần MCO Việt Nam,Construction & Materials,HNX
MCP,MPC,Công ty Cổ phần In và Bao bì Mỹ Châu,Industrial Goods & Services,HOSTC
MCT,CMC,Công ty cổ phần Kinh doanh vật tư và Xây dựng,Construction & Materials,UPCOM
MCV,"CVCM.,JSC",Công ty Cổ phần Cavico Việt Nam Khai thác mỏ và Xây dựng,Basic Resources,OTC
