ticker_code,company_name,company_full_name,sector,exchange
DGC,Duc Giang Chemicals Group,Công ty cổ phần Tập đoàn Hóa chất Đức Giang,Chemicals,HNX
DGL,DLC,Công ty Cổ phần Hóa Chất Đức Giang - Lào Cai,Chemicals,OTC
DGT,DOTRANCO,Công ty Cổ phần Công trình giao thông Đồng Nai,Construction & Materials,UPCOM
DGW,DIGIWORLD,Công ty Cổ phần Thế giới Số,Retail,HOSTC
DHA,HoaAn Stock.Co,Công ty Cổ phần Hoá An,Construction & Materials,HOSTC
DHB,Đạm Hà Bắc,Công ty Cổ phần Phân đạm và Hóa chất Hà Bắc,Chemicals,UPCOM
DHC,DOHACO,Công ty Cổ phần Đông Hải Bến Tre,Basic Resources,HOSTC
DHD,Công ty Cổ phần Dược Vật tư Y tế Hải Dương,Công ty Cổ phần Dược Vật tư Y tế Hải Dương,Health Care,UPCOM
DHG,DHG Pharma,Công ty Cổ phần Dược Hậu Giang,Health Care,HOSTC
DHI,Dipco,Công ty Cổ phần In Diên Hồng,Media,OTC
