ticker_code,company_name,company_full_name,sector,exchange
VTP,VTP,Tổng công ty Cổ phần Bưu chính Viettel,Industrial Goods & Services,UPCOM
VTS,VTS,Công ty Cổ phần Viglacera Từ Sơn,Construction & Materials,HNX
VTV,"VICEMCOMATCE.,JSC",Công ty Cổ phần VICEM Vật tư Vận tải Xi măng,Construction & Materials,HNX
VTX,VIETRANSTIMEX,Công ty cổ phần vận tải đa phương thức VIETRANSTIMEX,Industrial Goods & Services,UPCOM
VVN,Vinaincon,Tổng Công ty Cổ phần Xây dựng Công nghiệp Việt Nam,Construction & Materials,UPCOM
VWS,VIWASE,Công ty cổ phần Nước và Môi trường Việt Nam,Construction & Materials,UPCOM
VXB,VXB,Công ty Cổ phần Vật liệu xây dựng Bến Tre,Construction & Materials,HNX
VXP,"VETVACO.,JSC",CÔNG TY CỔ PHẦN THUỐC THÚ Y TRUNG ƯƠNG VETVACO,Health Care,UPCOM
WCS,BXMT,Công ty Cổ phần Bến xe miền Tây,Travel & Leisure,HNX
WSB,WSB,Công ty Cổ phần Bia Sài Gòn - Miền Tây,Food & Beverage,UPCOM
