ticker_code,company_name,company_full_name,sector,exchange
ART,BOS,Công ty cổ phần Chứng khoán BOS,Financial Services,HNX
ASA,Công ty Cổ phần Hàng tiêu dùng ASA,Công ty Cổ phần Hàng tiêu dùng ASA,Personal & Household Goods,UPCOM
ASD,ASD,Công ty Cổ phần Sông Đà Hà Nội,Construction & Materials,UPCOM
ASM,SAOMAI CONSCORP,Công ty Cổ phần Tập đoàn Sao Mai,Real Estate,HOSTC
ASP,AN PHA S.G PETROL J.S CO.,Công ty Cổ phần Tập đoàn Dầu khí An Pha,Utilities,HOSTC
AST,TASECO AIRS,Công ty Cổ phần Dịch vụ Hàng không Taseco,Retail,HOSTC
ATA,NTACO Co.,Công ty Cổ phần NTACO,Food & Beverage,UPCOM
ATB,Công ty Cổ phần An Thịnh,Công ty Cổ phần An Thịnh,Construction & Materials,UPCOM
ATD,28DN JSC,Công ty Cổ phần 28 Đà Nẵng,Personal & Household Goods,UPCOM
ATG,ATG,Công ty Cổ phần An Trường An,Basic Resources,HOSTC
