ticker_code,company_name,company_full_name,sector,exchange
A32,32 JSC,Công ty cổ phần 32,Personal & Household Goods,UPCOM
AAA,"An Phat., JSC",Công ty Cổ phần Nhựa và Môi trường xanh An Phát,Industrial Goods & Services,HOSTC
AAM,MEKONGFISH,Công ty Cổ phần Thủy sản Mekong,Food & Beverage,HOSTC
AAV,"VTSRE.,HC",Công ty cổ phần Việt Tiên Sơn Địa ốc,Retail,HNX
ABB,ABBANK,Ngân hàng Thương mại Cổ phần An Bình,Banks,OTC
ABC,VMG,Công ty cổ phần Truyền thông VMG,Telecommunications,UPCOM
ABI,ABIC,Công ty Cổ phần Bảo hiểm Ngân hàng Nông nghiệp (ABIC),Insurance,UPCOM
ABR,VIET BRAND,Công ty Cổ phần Đầu tư Nhãn hiệu Việt,Utilities,UPCOM
ABT,AQUATEX BENTRE,Công ty Cổ phần Xuất nhập khẩu thủy sản Bến Tre,Food & Beverage,HOSTC
AC4,ACC - 244 JSC,Công ty cổ phần ACC - 244,Personal & Household Goods,UPCOM
