ticker_code,company_name,company_full_name,sector,exchange
PVV,Vinaconex 39,Công ty Cổ phần Vinaconex 39,Construction & Materials,UPCOM
PVX,PVC,Tổng Công ty Cổ phần Xây lắp Dầu khí Việt Nam,Construction & Materials,HNX
PVY,PV Shipyard,Công ty cổ phần Chế tạo Giàn khoan Dầu khí,Oil & Gas,UPCOM
PWA,"PETROWACO.,JSC",Công ty Cổ phần Bất động sản Dầu khí,Real Estate,UPCOM
PWS,PYWASE,Công ty Cổ phần Cấp thoát nước Phú Yên,Utilities,UPCOM
PX1,XMDK-NA,Công ty Cổ phần xi măng Dầu khí Nghệ An,Construction & Materials,UPCOM
PXA,PVIT,Công ty Cổ phần Đầu tư và Thương mại Dầu khí Nghệ An,Construction & Materials,UPCOM
PXC,PVC - Mekong,Công ty cổ phần Phát triển Đô thị Dầu khí,Construction & Materials,UPCOM
PXI,PVC - IC,Công ty Cổ phần Xây dựng Công nghiệp và Dân dụng Dầu khí,Construction & Materials,HOSTC
PXL,LONG SON PIC,Công ty cổ phần Đầu tư Khu công nghiệp Dầu khí Long Sơn,Real Estate,UPCOM
