ticker_code,company_name,company_full_name,sector,exchange
MTP,MEDIPHARCO,Công ty cổ phần Dược Medipharco,Health Care,UPCOM
MTS,MTS,Công ty Cổ phần Vật tư - TKV,Oil & Gas,UPCOM
MTV,Đô thị Vũng Tàu,Công ty Cổ phần Dịch vụ Môi trường và Công trình Đô thị Vũng Tàu,Industrial Goods & Services,UPCOM
MVB,VVMI,Tổng công ty Công nghiệp mỏ Việt Bắc TKV_CTCP,Basic Resources,UPCOM
MVC,M&C Bình Dương,Công ty cổ phần Vật liệu và Xây dựng Bình Dương,Construction & Materials,UPCOM
MVN,VINALINES,Tổng Công ty Hàng hải Việt Nam – Công ty cổ phần,Industrial Goods & Services,UPCOM
MVY,Môi trường và Dịch vụ Đô thị Vĩnh Yên,Công ty Cổ phần Môi trường và Dịch vụ Đô thị Vĩnh Yên,Industrial Goods & Services,UPCOM
MWG,MWI Corp,Công ty Cổ phần đầu tư thế giới di động,Retail,HOSTC
NAB,Nam A Bank,Ngân hàng Thương mại Cổ phần Nam Á,Banks,OTC
NAC,NAGECCO,Công ty cổ phần Tư vấn Xây dựng Tổng hợp,Construction & Materials,UPCOM
