ticker_code,company_name,company_full_name,sector,exchange
NVP,Nước sạch Vĩnh Phúc,Công ty cổ phần Nước sạch Vĩnh Phúc,Utilities,UPCOM
NVT,NinhVanBay,Công ty Cổ phần Bất động sản Du lịch Ninh Vân Bay,Real Estate,HOSTC
NWT,NWT JSC,Công ty Cổ phần Vận tải Newway,Industrial Goods & Services,UPCOM
OCH,OCH.JSC,Công ty Cổ phần Khách sạn và Dịch vụ Đại Dương,Real Estate,HNX
OGC,"Ocean Group.,JSC",Công ty Cổ phần Tập đoàn Đại Dương,Real Estate,HOSTC
OIL,Tổng Công ty Dầu Việt Nam – Công ty cổ phần,Tổng Công ty Dầu Việt Nam – Công ty cổ phần,Oil & Gas,UPCOM
ONE,ONE Corp,Công ty Cổ phần Truyền thông số 1,Technology,HNX
ONW,ONE WORLD JSC,Công ty Cổ phần Dịch vụ Một Thế Giới,Technology,UPCOM
OPC,OPC,Công ty Cổ phần Dược phẩm OPC,Health Care,HOSTC
ORS,TPS,Công ty Cổ phần Chứng khoán Tiên Phong,Financial Services,UPCOM
