ticker_code,company_name,company_full_name,sector,exchange
NDN,NDN,Công ty Đầu tư Phát triển Nhà Đà Nẵng,Real Estate,HNX
NDP,NADYPHAR,Công ty cổ phần Dược phẩm 2/9,Health Care,UPCOM
NDT,NATEXCO,Tổng Công ty cổ phần Dệt May Nam Định,Personal & Household Goods,UPCOM
NDW,CÔNG TY CẤP NƯỚC NAM ĐỊNH,Công ty Cổ phần Cấp nước Nam Định,Utilities,UPCOM
NDX,NDX,Công ty Cổ phần Xây lắp Phát triển Nhà Đà Nẵng,Construction & Materials,HNX
NED,"Neden., JSC",Công ty cổ phần Đầu tư và Phát triển Điện Tây Bắc,Utilities,UPCOM
NET,NETCO,Công ty Cổ phần Bột giặt Net,Personal & Household Goods,HNX
NFC,NFC,Công ty Cổ phần Phân lân Ninh Bình,Chemicals,HNX
NGC,NGOPREXCO,Công ty Cổ phần Chế biến thủy sản Xuất khẩu Ngô Quyền,Food & Beverage,HNX
NHA,Ha Noi South Corporation,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị Nam Hà Nội,Construction & Materials,HNX
