ticker_code,company_name,company_full_name,sector,exchange
PAC,PINACO,Công ty Cổ phần Pin Ắc quy miền Nam,Industrial Goods & Services,HOSTC
PAI,"PAIC., JSC","Công ty Cổ phần Công nghệ Thông tin, Viễn thông và Tự động hóa Dầu Khí",Technology,UPCOM
PAN,Pan Pacific,Công ty Cổ phần Tập đoàn PAN,Retail,HOSTC
PBK,PVPower BacKan,Công ty cổ phần Điện lực Dầu khí Bắc Kạn,Utilities,UPCOM
PBP,PPC,Công ty Cổ phần Bao Bì Dầu Khí Việt Nam,Industrial Goods & Services,HNX
PBT,PV BUILDING,Công ty Cổ phần Nhà và Thương mại Dầu khí,Industrial Goods & Services,UPCOM
PC1,PCC1,Công ty cổ phần Xây lắp điện I,Construction & Materials,HOSTC
PCC,PCC-1 Group,Công ty cổ phần Tập đoàn Xây lắp 1 - Petrolimex,Construction & Materials,UPCOM
PCE,PCE,Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Trung,Chemicals,HNX
PCF,PETEC COFFEE JSC.,Công ty Cổ phần Cà Phê PETEC,Food & Beverage,UPCOM
