ticker_code,company_name,company_full_name,sector,exchange
MGC,VMG,Công ty cổ phần Địa chất mỏ - TKV,Basic Resources,UPCOM
MGG,DUGACOR,Tổng công ty Đức Giang - Công ty cổ phần,Personal & Household Goods,UPCOM
MH3,Công ty Cổ phần Khu công nghiệp cao su Bình Long,Công ty cổ phần Khu công nghiệp Cao su Bình Long,Real Estate,UPCOM
MHC,MHC COMPANY,Công ty Cổ phần MHC,Industrial Goods & Services,HOSTC
MHL,MHL,Công ty Cổ phần Minh Hữu Liên,Personal & Household Goods,HNX
MHY,HUNG YEN UREPCO,Công ty TNHH MTV Môi trường và Công trình Đô thị Hưng Yên,Industrial Goods & Services,UPCOM
MIC,MINCO,Công ty Cổ phần Kỹ nghệ khoáng sản Quảng Nam,Basic Resources,UPCOM
MIE,MIE,Tổng Công ty Máy và Thiết bị Công nghiệp - CTCP,Construction & Materials,UPCOM
MIG,MIC,Tổng Công ty Cổ phần Bảo Hiểm Quân Đội,Insurance,UPCOM
MIH,MIHAJSC,Công ty Cổ phần Xuất nhập khẩu Khoáng sản Hà Nam,Basic Resources,OTC
