ticker_code,company_name,company_full_name,sector,exchange
NBP,NBTPC,Công ty Cổ phần Nhiệt điện Ninh Bình,Utilities,HNX
NBR,CTCP Đường sắt Nghĩa Bình,Công ty cổ phần Đường sắt Nghĩa Bình,Industrial Goods & Services,UPCOM
NBT,Bewaco,Công ty cổ phần cấp thoát nước Bến Tre,Utilities,UPCOM
NBW,NHA BE WASUCO JSC,Công ty Cổ phần Cấp nước Nhà Bè,Utilities,HNX
NCP,CPC,Công ty Cổ phần nhiệt điện Cẩm Phả - TKV,Utilities,UPCOM
NCS,NCS,Công ty cổ phần Suất ăn hàng không Nội Bài,Travel & Leisure,UPCOM
NCT,NCTS,Công ty Cổ phần dịch vụ hàng hóa Nội Bài,Industrial Goods & Services,HOSTC
ND2,NEDI2,Công ty Cổ phần Đầu tư và Phát triển điện miền Bắc 2,Construction & Materials,UPCOM
NDC,Nam Duoc JSC.,Công ty Cổ phần Nam dược,Health Care,UPCOM
NDF,NADEXFOCO,Công ty Cổ phần Chế biến Thực phẩm Nông sản Xuất khẩu Nam Định,Food & Beverage,HNX
