ticker_code,company_name,company_full_name,sector,exchange
DBW,Diwaco,Công ty Cổ phần Cấp nước Điện Biên,Utilities,UPCOM
DC1,DIC - No 1,Công ty Cổ phần Đầu tư Phát triển Xây dựng số 1,Construction & Materials,UPCOM
DC2,DIC No 2,Công ty Cổ phần Đầu tư phát triển - Xây dựng (DIC) số 2,Construction & Materials,HNX
DC4,DIC - No4,Công ty Cổ phần DIC số 4,Construction & Materials,HNX
DCD,DIC T&T,Công ty Cổ phần Du lịch và Thương mại DIC,Travel & Leisure,UPCOM
DCF,DECOFI,Công ty Cổ phần Xây dựng và Thiết kế Số 1,Construction & Materials,UPCOM
DCG,CTCP Tổng công ty May Đáp Cầu,Công ty cổ phần Tổng Công ty May Đáp Cầu,Personal & Household Goods,UPCOM
DCH,Công ty Địa chính Hà Nội,Công ty Cổ phần Địa chính Hà Nội,Real Estate,UPCOM
DCI,CICO,Công ty cổ phần Công nghiệp hóa chất Đà Nẵng,Chemicals,UPCOM
DCL,BENOVAS,Công ty Cổ phần Dược phẩm Cửu Long,Health Care,HOSTC
