ticker_code,company_name,company_full_name,sector,exchange
ATS,"ATESCO CO.,JSC",Công ty cổ phần Suất ăn công nghiệp Atesco,Travel & Leisure,HNX
AUM,AUM,Công ty Cổ phần Vinacafe Sơn Thành,Retail,UPCOM
AVC,AVC,Công ty cổ phần Thủy điện A Vương,Utilities,UPCOM
AVF,Anvifish Co.,Công ty Cổ phần Việt An,Food & Beverage,UPCOM
AVS,AVS,Công ty Cổ phần Chứng khoán Âu Việt,Financial Services,OTC
B82,JSC 482,Công ty Cổ phần 482,Construction & Materials,UPCOM
BAB,Bac A Bank,Ngân hàng Thương mại cổ phần Bắc Á,Banks,UPCOM
BAL,BALPAC,Công ty Cổ phần Bao bì Bia - Rượu - Nước giải khát,Food & Beverage,UPCOM
BAM,CTCP Khoáng sản và Luyện kim Bắc Á,Công ty Cổ phần khoáng sản và luyện kim Bắc Á,Basic Resources,OTC
BAS,BASACO,Công ty Cổ phần BASA,Food & Beverage,OTC
