ticker_code,company_name,company_full_name,sector,exchange
HVC,PJ CO,Công ty Cổ phần Hưng Vượng,Personal & Household Goods,OTC
HVG,HV Corp.,Công ty Cổ phần Hùng Vương,Food & Beverage,HOSTC
HVH,"HVC.,JSC",Công ty cổ phần Đầu tư và Công nghệ HVC,Personal & Household Goods,HOSTC
HVN,Vietnam Airlines,Tổng Công ty Hàng không Việt Nam - CTCP,Travel & Leisure,HOSTC
HVT,VICCO,Công ty Cổ phần Hóa chất Việt Trì,Chemicals,HNX
HVX,HVC,Công ty Cổ phần xi măng Vicem Hải Vân,Construction & Materials,HOSTC
HWS,HUEWACO,Công ty Cổ phần Cấp nước Thừa Thiên Huế,Utilities,UPCOM
I10,IDICO-INCO 10,Công ty Cổ phần Đầu tư Xây dựng số 10 IDICO,Construction & Materials,UPCOM
I40,ICCO 40,Công ty Cổ phần Đầu tư và Xây dựng 40,Construction & Materials,OTC
IBC,APAX HOLDINGS JSC,Công ty cổ phần Đầu tư APAX HOLDINGS,Financial Services,HOSTC
