ticker_code,company_name,company_full_name,sector,exchange
FRT,FRT JSC,Công ty cổ phần Bán lẻ Kỹ thuật số FPT,Technology,HOSTC
FSO,FISHIPCO,Công ty cổ phần Cơ khí đóng tàu thủy sản Việt Nam,Construction & Materials,UPCOM
FT1,FUTU1,Công ty cổ phần Phụ tùng máy số 1,Automobiles & Parts,UPCOM
FTI,FRIENDCO,Công ty Cổ phần Công nghiệp - Thương mại Hữu Nghị,Real Estate,UPCOM
FTM,Đầu tư và Phát triển Đức Quân,Công ty Cổ phần Đầu tư và Phát triển Đức Quân,Personal & Household Goods,HOSTC
FTS,FPTS,Công ty Cổ phần Chứng khoán FPT,Financial Services,HOSTC
FUCTVGF1,TVGF,Quỹ đầu tư tăng trưởng TVAM,Financial Services,HOSTC
FUCTVGF2,TVGF2,Quỹ Đầu tư Tăng trưởng Thiên Việt 2,Financial Services,HOSTC
FUCVREIT,TC REIT,Quỹ đầu tư bất động sản Techcom Việt Nam,Financial Services,HOSTC
G20,Vinh Phuc Textile,Công ty Cổ phần Đầu tư Dệt may Vĩnh Phúc,Personal & Household Goods,UPCOM
