ticker_code,company_name,company_full_name,sector,exchange
SRC,SRC,Công ty Cổ phần Cao su Sao vàng,Automobiles & Parts,HOSTC
SRF,SEAREFICO,Công ty Cổ phần Kỹ Nghệ Lạnh,Industrial Goods & Services,HOSTC
SRT,SARATRANS JSC,Công ty cổ phần Vận tải Đường sắt Sài Gòn,Industrial Goods & Services,UPCOM
SSC,SSC,Công ty Cổ phần Giống cây trồng miền Nam,Food & Beverage,HOSTC
SSF,Sashoco,Công ty Cổ phần Giày Sài Gòn,Personal & Household Goods,UPCOM
SSG,SESCO,Công ty Cổ phần Vận tải biển Hải Âu,Industrial Goods & Services,UPCOM
SSI,SSI,Công ty Cổ phần chứng khoán SSI,Financial Services,HOSTC
SSM,VNECO.SSM,Công ty Cổ phần Chế tạo kết cấu thép VNECO.SSM,Construction & Materials,HNX
SSN,Công ty XNK thuỷ sản TP Hồ Chí Minh,Công ty Cổ phần xuất nhập khẩu thủy sản Sài Gòn,Food & Beverage,UPCOM
SST,Công ty cổ phần Thương mại Bia Sài Gòn Sông Tiền,Công ty cổ phần Thương mại Bia Sài Gòn Sông Tiền,Food & Beverage,OTC
