ticker_code,company_name,company_full_name,sector,exchange
TLT,TTC,Công ty Cổ phần Viglacera Thăng Long,Construction & Materials,UPCOM
TMB,"VNCT.,JSC",Công ty Cổ phần Kinh doanh Than miền Bắc - Vinacomin,Basic Resources,HNX
TMC,TDP,Công ty Cổ phần Thương mại Xuất nhập khẩu Thủ Đức,Retail,HNX
TMG,Công ty kim loại màu Thái Nguyên,Công ty cổ phần Kim loại màu Thái Nguyên - Vimico,Basic Resources,UPCOM
TMP,TMHPC,Công ty Cổ phần Thủy điện Thác Mơ,Utilities,HOSTC
TMS,TRANSIMEX,CÔNG TY CỔ PHẦN TRANSIMEX,Industrial Goods & Services,HOSTC
TMT,"TMT Motor., JSC",Công ty Cổ phần Ô tô TMT,Automobiles & Parts,HOSTC
TMW,TAN MAI WOOD COMPANY,Công ty Cổ phần tổng hợp gỗ Tân Mai,Personal & Household Goods,UPCOM
TMX,"VICEMCEMENT.T.,JSC",Công ty Cổ phần Vicem Thương mại xi măng,Construction & Materials,HNX
TN1,CTCP TNS HOLDINGS,CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ TNS HOLDINGS,Real Estate,HOSTC
