ticker_code,company_name,company_full_name,sector,exchange
DCM,PVCFC,Công ty Cổ phần Phân Bón Dầu khí Cà Mau,Chemicals,HOSTC
DCR,DACERA,Công ty cổ phần Gạch Men Cosevco,Construction & Materials,UPCOM
DCS,Dai Chau Group JSC,Công ty Cổ phần Tập đoàn Đại Châu,Personal & Household Goods,UPCOM
DCT,Donac,Công ty Cổ phần Tấm lợp Vật liệu Xây dựng Đồng Nai,Construction & Materials,UPCOM
DDG,Công ty cổ phần Đầu tư Công nghiệp Xuất nhập khẩu Đông Dương,Công ty cổ phần Đầu tư Công nghiệp Xuất nhập khẩu Đông Dương,Industrial Goods & Services,HNX
DDH,GTĐT,Công ty cổ phần Đảm bảo giao thông đường thủy Hải Phòng,Industrial Goods & Services,UPCOM
DDM,DDM,Công ty Cổ phần Hàng hải Đông Đô,Industrial Goods & Services,UPCOM
DDN,DAPHARCO,Công ty Cổ phần Dược - Thiết bị y tế Đà Nẵng (DDN),Health Care,UPCOM
DDV,DDV,Công ty Cổ phần DAP - VINACHEM,Chemicals,UPCOM
DFC,DFC,Công ty Cổ phần Xích Líp Đông Anh,Industrial Goods & Services,UPCOM
