ticker_code,company_name,company_full_name,sector,exchange
PEC,PEC,Công ty Cổ phần Cơ khí Điện lực,Construction & Materials,UPCOM
PEG,PETEC,Tổng Công ty Thương mại Kỹ thuật và Đầu tư - Công ty cổ phần,Utilities,UPCOM
PEN,PENJICO,Công ty Cổ phần Xây lắp III Petrolimex,Construction & Materials,HNX
PEQ,PECO,Công ty Cổ phần Thiết bị xăng dầu Petrolimex,Oil & Gas,UPCOM
PET,Petrosetco,Tổng Công ty Cổ phần Dịch vụ Tổng hợp Dầu khí,Travel & Leisure,HOSTC
PFL,"PVC - Đông Đô.,JSC",Công ty Cổ phần Dầu khí Đông Đô,Real Estate,UPCOM
PFV,PFV JSC,Công ty Cổ phần Đầu tư và Thương mại PFV,Real Estate,OTC
PGB,PGBANK,Ngân hàng Thương mại Cổ phần Xăng dầu Petrolimex,Banks,OTC
PGC,PGC,Tổng Công ty Gas Petrolimex - CTCP,Utilities,HOSTC
PGD,PV GAS D,Công ty Cổ phần Phân phối khí Thấp áp Dầu khí Việt Nam,Utilities,HOSTC
