ticker_code,company_name,company_full_name,sector,exchange
HTV,HATIEN TRANSCO,Công ty Cổ phần vận tải Hà Tiên,Industrial Goods & Services,HOSTC
HTW,HAWASU,Công ty Cổ phần cấp nước Hà Tĩnh,Utilities,UPCOM
HU1,"HUD1.,JSC",Công ty Cổ phần Đầu tư và Xây dựng HUD1,Construction & Materials,HOSTC
HU3,HUD3,Công ty Cổ phần Đầu tư và Xây dựng HUD3,Construction & Materials,HOSTC
HU4,HUD4,Công ty Cổ phần Đầu tư và Xây dựng HUD4,Construction & Materials,UPCOM
HU6,HU6,Công ty Cổ phần Đầu tư Phát triển Nhà và Đô thị HUD6,Real Estate,UPCOM
HUB,HCC,Công ty Cổ phần Xây lắp Thừa Thiên Huế,Construction & Materials,HOSTC
HUG,HUGACO,Tổng công ty May Hưng Yên - Công ty Cổ phần,Personal & Household Goods,UPCOM
HUT,HUD – TASCO,Công ty Cổ phần TASCO,Construction & Materials,HNX
HVA,CTCP Đầu tư HVA,Công ty Cổ phần Đầu tư HVA,Food & Beverage,HNX
