ticker_code,company_name,company_full_name,sector,exchange
SAC,SASTECO,Công ty cổ phần Xếp dỡ và Dịch vụ Cảng Sài Gòn,Industrial Goods & Services,UPCOM
SAF,SAFOCO,Công ty Cổ phần Lương thực Thực phẩm SAFOCO,Food & Beverage,HNX
SAL,VISAL,Công ty cổ phần Trục vớt cứu hộ Việt Nam,Industrial Goods & Services,UPCOM
SAM,SAM HOLDINGS,Công ty Cổ phần SAM HOLDINGS,Technology,HOSTC
SAP,HCMTPC(SAPCO),Công ty Cổ phần In sách giáo khoa TP Hồ Chí Minh,Media,UPCOM
SAS,Dịch vụ Hàng không sân bay Tân Sơn Nhất,Công ty Dịch vụ Hàng không sân bay Tân Sơn Nhất,Industrial Goods & Services,UPCOM
SAV,SAVIMEX,Công ty Cổ phần Hợp tác kinh tế và Xuất nhập khẩu SAVIMEX,Personal & Household Goods,HOSTC
SB1,SNB JSC,Công ty cổ phần bia Sài Gòn - Nghệ Tĩnh,Food & Beverage,UPCOM
SBA,SBA,Công ty Cổ phần Sông Ba,Utilities,HOSTC
SBC,SABETRAN JSC,Công ty Cổ phần Vận tải và Giao nhận Bia Sài Gòn,Industrial Goods & Services,OTC
