ticker_code,company_name,company_full_name,sector,exchange
VHE,"VINAHERBFOODS.,JSC",Công ty cổ phần Dược liệu và Thực phẩm Việt Nam,Retail,HNX
VHF,VINH HA FOOD JSC,Công ty Cổ phần Xây dựng và chế biến lương thực Vĩnh Hà,Food & Beverage,UPCOM
VHG,VHG,Công ty Cổ phần Đầu tư Cao su Quảng Nam,Technology,UPCOM
VHH,VIWASEEN - HUẾ,Công ty Cổ phần Đầu tư Xây dựng Viwaseen Huế,Construction & Materials,UPCOM
VHL,VHL,Công ty Cổ phần Viglacera Hạ Long,Construction & Materials,HNX
VHM,"Vinhomes.,JSC",Công ty cổ phần Vinhomes,Real Estate,HOSTC
VIA,V.J.CO,Công ty Cổ phần VIAN,Food & Beverage,OTC
VIB,VIB,Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam,Banks,UPCOM
VIC,VINGROUP,Tập đoàn VINGROUP - CTCP,Real Estate,HOSTC
VID,VIDON CORP,Công ty Cổ phần Đầu tư Phát triển Thương mại Viễn Đông,Basic Resources,HOSTC
