ticker_code,company_name,company_full_name,sector,exchange
LIC,LICOGI,Tổng Công ty LICOGI - CTCP,Construction & Materials,UPCOM
LIG,LICOGI  13,Công ty Cổ phần Licogi 13,Construction & Materials,HNX
LIX,LIXCO,Công ty Cổ phần Bột giặt Lix,Personal & Household Goods,HOSTC
LKW,LKWA,Công ty Cổ phần Cấp nước Long Khánh,Utilities,UPCOM
LLM,LILAMA,Tổng công ty lắp máy Việt Nam - Công ty Cổ phần,Construction & Materials,UPCOM
LM3,LILAMA 3.JSC,Công ty Cổ phần Lilama 3,Construction & Materials,UPCOM
LM7,"Lilama 7., JSC",Công ty Cổ phần Lilama 7,Construction & Materials,HNX
LM8,LILAMA 18 JSC,Công ty Cổ phần Lilama 18,Industrial Goods & Services,HOSTC
LMC,"LATCA MINERAL., JSC",Công ty cổ phần Khoáng sản Latca,Basic Resources,UPCOM
LMH,LANDMARK HOLDING JSC,Công ty cổ phần Landmark Holding,Retail,HOSTC
