ticker_code,company_name,company_full_name,sector,exchange
NKG,Nakisco,Công ty Cổ phần Thép Nam Kim,Basic Resources,HOSTC
NLC,Naloi Hypro.JSC,Công ty Cổ phần Thủy điện Nà Lơi,Utilities,OTC
NLG,NLG CORP.,Công ty Cổ phần Đầu tư Nam Long,Real Estate,HOSTC
NLS,LS Water,Công ty cổ phần Cấp thoát nước Lạng Sơn,Utilities,UPCOM
NMK,CIENCO JOINT-STOCK 510,Công ty Cổ phần Xây dựng Công trình 510,Construction & Materials,UPCOM
NNB,CTCP Cấp thoát nước Ninh Bình,Công ty cổ phần Cấp thoát nước Ninh Bình,Industrial Goods & Services,UPCOM
NNC,NNC,Công ty Cổ phần Đá Núi Nhỏ,Construction & Materials,HOSTC
NNG,NNC,Công ty Cổ phần công nghiệp- dịch vụ- thương mại Ngọc Nghĩa,Industrial Goods & Services,UPCOM
NNT,NIWACO,Công ty Cổ phần Cấp nước Ninh Thuận,Utilities,UPCOM
NOS,OSCO,Công ty cổ phần Vận tải biển và Thương mại Phương Đông,Industrial Goods & Services,UPCOM
