ticker_code,company_name,company_full_name,sector,exchange
CNC,Traphaco CNC,Công ty Cổ phần Công nghệ cao Traphaco,Chemicals,UPCOM
CNG,CNG Vietnam,Công ty Cổ phần CNG Việt Nam,Utilities,HOSTC
CNH,CNH,Công ty Cổ phần cảng Nha Trang,Industrial Goods & Services,UPCOM
CNN,CONINCO,"Công ty cổ phần Tư vấn công nghệ, thiết bị và kiểm định xây dựng - CONINCO",Industrial Goods & Services,UPCOM
CNT,C&T,Công ty Cổ phần Xây dựng và Kinh doanh vật tư,Construction & Materials,UPCOM
COM,Comeco,Công ty Cổ phần Vật Tư - Xăng Dầu,Retail,HOSTC
CPC,CPC,Công ty Cổ phần Thuốc sát trùng Cần Thơ,Chemicals,HNX
CPH,HPFCO,Công ty cổ phần Phục vụ mai táng Hải Phòng,Retail,UPCOM
CPI,CAILAN PORT INVEST,Công ty Cổ phần Đầu tư Cảng Cái Lân,Industrial Goods & Services,UPCOM
CQT,VQTC,Công Ty Cổ Phần Xi Măng Quán Triều VVMI,Construction & Materials,UPCOM
