ticker_code,company_name,company_full_name,sector,exchange
DL1,DLGL INDPS,Công ty Cổ phần Đầu tư phát triển dịch vụ công trình công cộng Đức Long Gia Lai,Industrial Goods & Services,HNX
DLC,CANTHO TOURIST J.S CO,Công ty Cổ phần Du lịch Cần Thơ,Travel & Leisure,OTC
DLD,DakLak Tourist,Công ty Cổ phần Du lịch Đắc Lắk,Travel & Leisure,UPCOM
DLG,Duc Long Group,Công ty Cổ phần Tập đoàn Đức Long Gia Lai,Personal & Household Goods,HOSTC
DLR,DALAT – REALCO,Công ty Cổ phần Địa ốc Đà Lạt,Real Estate,UPCOM
DLT,VTTC,Công ty cổ phần du lịch và thương mại - VINACOMIN,Industrial Goods & Services,UPCOM
DM7,Det may 7 JSC,Công ty cổ phần Dệt May 7,Personal & Household Goods,UPCOM
DMC,Domesco,Công ty Cổ phần Xuất nhập khẩu Y tế Domesco,Health Care,HOSTC
DNA,Powaco,Công ty Cổ phần Điện nước An Giang,Utilities,UPCOM
DNB,"BOOKDAKNONG Co.,Ltd",Công ty TNHH MTV Sách và Thiết bị trường học tỉnh Đắk Nông,Media,UPCOM
