ticker_code,company_name,company_full_name,sector,exchange
TBT,TBTCO,Công ty Cổ phần Xây dựng Công trình Giao thông Bến Tre,Construction & Materials,UPCOM
TBX,TBX,Công ty Cổ phần Xi măng Thái Bình,Construction & Materials,HNX
TC6,VCSC,Công ty Cổ phần Than Cọc Sáu - VINACOMIN,Basic Resources,HNX
TCB,Techcombank,Ngân hàng Thương mại Cổ phần Kỹ Thương Việt Nam - Techcombank,Banks,HOSTC
TCD,TRACODI,Công ty Cổ phần Đầu tư Phát triển Công nghiệp và Vận tải,Construction & Materials,HOSTC
TCH,TCH,Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,Real Estate,HOSTC
TCI,TCSC,Công ty cổ phần Chứng khoán Thành Công,Financial Services,UPCOM
TCJ,"TOCHAU JSC.,",Công ty Cổ phần Tô Châu,Food & Beverage,UPCOM
TCK,COMA,Tổng công ty Cơ khí xây dựng - CTCP,Construction & Materials,UPCOM
TCL,Tan Cang Logistics JSC,Công ty Cổ phần Đại lý giao nhận Vận tải xếp dỡ Tân Cảng,Industrial Goods & Services,HOSTC
