ticker_code,company_name,company_full_name,sector,exchange
TJC,TRANSCO,Công ty Cổ phần Dịch vụ Vận tải và Thương mại,Industrial Goods & Services,HNX
TKC,TAKCO,Công ty Cổ phần Xây dựng và Kinh doanh địa ốc Tân Kỷ,Construction & Materials,HNX
TKU,Tung Kuang,Công ty Cổ phần Công nghiệp Tung Kuang,Basic Resources,HNX
TL4,Hyco4 – Jsc.,Tổng Công ty Xây dựng Thủy lợi 4,Construction & Materials,UPCOM
TLC,TLT,Công ty Cổ phần Viễn thông Thăng Long,Technology,OTC
TLD,"THANG LONG DECO., JSC",Công ty Cổ phần Đầu tư Xây dựng và Phát triển Đô thị Thăng Long,Construction & Materials,HOSTC
TLG,Thiên Long,Công ty Cổ phần Tập đoàn Thiên Long,Retail,HOSTC
TLH,T.L.C,Công ty Cổ phần Tập đoàn thép Tiến Lên,Basic Resources,HOSTC
TLI,Công ty cổ phần May Quốc Tế Thắng Lợi,Công ty cổ phần May Quốc Tế Thắng Lợi,Personal & Household Goods,UPCOM
TLP,Tổng công ty Thương mại Xuất nhập khẩu Thanh Lễ – CTCP,Tổng công ty Thương mại Xuất nhập khẩu Thanh Lễ – CTCP,Oil & Gas,UPCOM
