ticker_code,company_name,company_full_name,sector,exchange
VGG,VTEC,Tổng Công ty Cổ phần may Việt Tiến,Personal & Household Goods,UPCOM
VGI,"VIETTEL GLOBAL., JSC",Tổng Công ty cổ phần Đầu tư Quốc tế Viettel,Telecommunications,UPCOM
VGL,Vingal,Công ty cổ phần Mạ kẽm công nghiệp Vingal - Vnsteel,Basic Resources,UPCOM
VGP,VEGEPORT J CO,Công ty Cổ phần Cảng rau quả,Industrial Goods & Services,HNX
VGR,Vip GreenPort,Công ty cổ phần Cảng Xanh Vip,Industrial Goods & Services,UPCOM
VGS,VG PIPE,Công ty Cổ phần Ống thép Việt Đức VG PIPE,Basic Resources,HNX
VGT,Vinatex,Tập đoàn Dệt May Việt Nam,Personal & Household Goods,UPCOM
VGV,VNCC,Tổng Công ty Tư vấn Xây dựng Việt Nam - CTCP,Construction & Materials,UPCOM
VHC,Vinh Hoan Corp,Công ty Cổ phần Vĩnh Hoàn,Food & Beverage,HOSTC
VHD,"VINAHUD.,JSC",Công ty Cổ phần Đầu tư phát triển Nhà và Đô thị Vinaconex,Construction & Materials,UPCOM
