ticker_code,company_name,company_full_name,sector,exchange
CGP,CAGIPHARM,Công ty Cổ phần Dược phẩm Cần Giờ,Health Care,UPCOM
CGV,VINACEGLASS,Công ty cổ phần Sành sứ Thủy tinh Việt Nam,Construction & Materials,UPCOM
CH5,HCJSC5,Công ty cổ phần xây dựng số 5 Hà Nội,Construction & Materials,UPCOM
CHC,VINAFOR CẨM HÀ,Công ty cổ phần Cẩm Hà,Basic Resources,UPCOM
CHP,EVNCHP,Công ty Cổ phần Thủy điện miền Trung,Utilities,HOSTC
CHS,SAPULICO,Công ty Cổ phần Chiếu sáng công cộng Thành phố Hồ Chí Minh,Utilities,UPCOM
CI5,CIC-5 JSC,Công ty Cổ phần Đầu tư Xây dựng số 5,Construction & Materials,UPCOM
CIA,CIAS CO.,Công ty Cổ phần Dịch vụ Sân bay Quốc tế Cam Ranh,Industrial Goods & Services,HNX
CIC,COTECiN J.S. CO,Công ty Cổ phần Đầu tư và Xây dựng COTEC,Construction & Materials,OTC
CID,CINDE,Công ty Cổ phần Xây dựng và phát triển cơ sở hạ tầng,Construction & Materials,UPCOM
